Date,Symbol,Order,Shares
2008-07-03,ML4T-399,BUY,100
2008-06-27,ML4T-399,SELL,100
2008-07-07,ML4T-399,BUY,100
2008-07-03,ML4T-399,BUY,100
2008-07-11,ML4T-399,SELL,100
2008-07-07,ML4T-399,BUY,100
2008-07-14,ML4T-399,SELL,100
2008-07-08,ML4T-399,BUY,100
2008-07-15,ML4T-399,SELL,100
2008-07-09,ML4T-399,BUY,100
2008-07-16,ML4T-399,SELL,100
2008-07-10,ML4T-399,BUY,100
2008-07-17,ML4T-399,SELL,100
2008-07-15,ML4T-399,SELL,100
2008-07-22,ML4T-399,BUY,100
2008-07-16,ML4T-399,SELL,100
2008-07-23,ML4T-399,BUY,100
2008-07-17,ML4T-399,SELL,100
2008-07-24,ML4T-399,BUY,100
2008-07-18,ML4T-399,SELL,100
2008-07-25,ML4T-399,BUY,100
2008-07-21,ML4T-399,SELL,100
2008-07-28,ML4T-399,BUY,100
2008-07-25,ML4T-399,BUY,100
2008-08-01,ML4T-399,SELL,100
2008-07-28,ML4T-399,BUY,100
2008-08-04,ML4T-399,SELL,100
2008-07-29,ML4T-399,BUY,100
2008-08-05,ML4T-399,SELL,100
2008-07-30,ML4T-399,BUY,100
2008-08-06,ML4T-399,SELL,100
2008-07-31,ML4T-399,BUY,100
2008-08-07,ML4T-399,SELL,100
2008-08-05,ML4T-399,SELL,100
2008-08-12,ML4T-399,BUY,100
2008-08-06,ML4T-399,SELL,100
2008-08-13,ML4T-399,BUY,100
2008-08-07,ML4T-399,SELL,100
2008-08-14,ML4T-399,BUY,100
2008-08-08,ML4T-399,SELL,100
2008-08-15,ML4T-399,BUY,100
2008-08-11,ML4T-399,SELL,100
2008-08-18,ML4T-399,BUY,100
2008-08-15,ML4T-399,BUY,100
2008-08-22,ML4T-399,SELL,100
2008-08-18,ML4T-399,BUY,100
2008-08-25,ML4T-399,SELL,100
2008-08-19,ML4T-399,BUY,100
2008-08-26,ML4T-399,SELL,100
2008-08-20,ML4T-399,BUY,100
2008-08-27,ML4T-399,SELL,100
2008-08-21,ML4T-399,BUY,100
2008-08-28,ML4T-399,SELL,100
2008-08-26,ML4T-399,SELL,100
2008-09-03,ML4T-399,BUY,100
2008-08-27,ML4T-399,SELL,100
2008-09-04,ML4T-399,BUY,100
2008-08-28,ML4T-399,SELL,100
2008-09-05,ML4T-399,BUY,100
2008-08-29,ML4T-399,SELL,100
2008-09-08,ML4T-399,BUY,100
2008-09-02,ML4T-399,SELL,100
2008-09-09,ML4T-399,BUY,100
2008-09-08,ML4T-399,BUY,100
2008-09-15,ML4T-399,SELL,100
2008-09-09,ML4T-399,BUY,100
2008-09-16,ML4T-399,SELL,100
2008-09-10,ML4T-399,BUY,100
